Direccion;Precio;Tipo_Adquicision;Habitaciones;Banios;Ciudad;Fecha
1333 J D Miller Rd, Pt Washington, FL;;;;;Pt Washington;2023-10-12T04:35:19.163Z
5671 Mauna Loa Blvd, Sarasota, FL;;;;;Sarasota;2024-02-09T04:22:47.919Z
3540 Broadway Ave, Sarasota, FL;;;;;Sarasota;2024-02-28T06:36:22.279Z
1100 Seagate Ave, Neptune Beach, FL;;;;;Neptune Beach;2024-04-01T08:32:22.183Z
5860 Murmur Trl, Milton, FL;;;;;Milton;2024-04-08T06:27:15.389Z
6600 Oakshore Dr, Panama City, FL;;;;;Panama City;2023-11-02T17:42:00.276Z
110 Iron Horse Dr W, Crestview, FL;;;;;Crestview;2023-12-06T14:36:08.655Z
4460 Hodges Blvd, Jacksonville, FL;;;;;Jacksonville;2023-11-28T14:18:20.949Z
302 26th Ave W, Bradenton, FL;;;;;Bradenton;2023-11-14T13:34:07.723Z
7000 SW 91st St, Gainesville, FL;;;;;Gainesville;2024-04-04T14:57:16.970Z
4355 Tapestry Headwaters Dr, Kissimmee, FL;;;;;Kissimmee;2023-11-21T02:24:28.737Z
2935 Ashland Cir, Fort Pierce, FL;;;;;Fort Pierce;2023-11-07T06:06:15.316Z
11965 Pioneers Way, Orlando, FL;;;;;Orlando;2023-12-14T11:34:44.256Z
111 Sierra Dr, Jupiter, FL;;;;;Jupiter;2024-01-27T06:50:28.797Z
1387 E Vine St, Kissimmee, FL;;;;;Kissimmee;2024-02-04T16:00:38.520Z
612 Bass Ct, Dunedin, FL;;;;;Dunedin;2023-12-11T23:15:46.875Z
936 Tullamore Ln, Altamonte Springs, FL;;;;;Altamonte Springs;2023-12-12T07:44:21.155Z
5258 Collins Preserve Ln, Jacksonville, FL;;;;;Jacksonville;2023-12-31T22:59:43.382Z
1398 Cavendish Ct, Stuart, FL;;;;;Stuart;2023-11-15T19:46:03.583Z
3045 Aloma Ave, Winter Park, FL;;;;;Winter Park;2024-02-15T14:49:09.072Z
1520 Alford Pl, Jacksonville, FL;;;;;Jacksonville;2024-02-26T02:14:43.631Z
10901 Burnt Mill Rd, Jacksonville, FL;;;;;Jacksonville;2024-02-02T00:55:16.166Z
8255 Park Blvd, Miami, FL;;;;;Miami;2024-02-18T16:51:05.797Z
31254 Monterey Pine St, Wesley Chapel, FL;;;;;Wesley Chapel;2024-02-08T03:50:15.601Z
11100 Domain Dr, Jacksonville, FL;;;;;Jacksonville;2024-01-01T11:41:58.431Z
1090 Quaye Lake Cir, West Palm Beach, FL;;;;;West Palm Beach;2023-11-20T18:16:11.954Z
4142 Cocoplum Cir, Pompano Beach, FL;;;;;Pompano Beach;2024-02-28T13:09:25.632Z
Harbor Vista, 32427 Quiet Harbor Ave #20-105, Leesburg, FL 34788;1942;ForRent;3;2;Leesburg;2023-11-15T05:14:55.191Z
3305 Grant Cove Cir, Cape Coral, FL;;;;;Cape Coral;2023-11-30T20:18:55.277Z
7960 Merchants Way, Jacksonville, FL;;;;;Jacksonville;2024-03-28T14:02:00.486Z
109 Pygmy Date Blvd, Nokomis, FL;;;;;Nokomis;2024-02-09T17:45:13.209Z
7137 N Blue Angel Pkwy, Pensacola, FL;;;;;Pensacola;2024-02-19T21:07:14.870Z
1508 Ladora Dr, Brandon, FL;;;;;Brandon;2024-03-05T10:20:18.885Z
201 Winding Rd, Kingsland, GA;;;;;Kingsland;2024-02-04T07:57:48.254Z
17105 Gulf Blvd, North Redington Beach, FL;;;;;North Redington Beach;2024-03-02T05:41:20.911Z
3750 S Dixie Hwy, Miami, FL;;;;;Miami;2023-10-18T16:42:52.675Z
500 N Andrews Ave, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-12-01T15:30:18.143Z
5600 NW Coventry Cir, Pt Saint Lucie, FL;;;;;Pt Saint Lucie;2024-02-03T23:42:22.599Z
3210 N University Dr, Pompano Beach, FL;;;;;Pompano Beach;2023-10-20T09:13:57.414Z
7940 Citrus Garden Dr, Tampa, FL;;;;;Tampa;2024-03-17T22:48:54.599Z
2561 Everson St, Bradenton, FL;;;;;Bradenton;2024-01-08T10:47:02.700Z
8421 Del Lago Cir, Tampa, FL;;;;;Tampa;2024-01-24T10:03:39.839Z
14900 Inspire Way, Jacksonville, FL;;;;;Jacksonville;2024-02-21T20:52:58.568Z
15000 Stratus Loop, Winter Garden, FL;;;;;Winter Garden;2023-11-07T16:34:07.075Z
6945 Carlisle Ct, Naples, FL;;;;;Naples;2024-03-09T16:28:58.083Z
6802 Commonwealth Ave, Jacksonville, FL;;;;;Jacksonville;2023-11-24T03:00:59.173Z
5909 30th Ave W, Bradenton, FL;;;;;Bradenton;2024-02-14T02:37:34.883Z
1401 Reed Canal Rd, Pt Orange, FL;;;;;Pt Orange;2023-11-26T21:29:30.766Z
4652 Miramar Dr, Saint Petersburg, FL;;;;;Saint Petersburg;2023-12-06T16:07:34.396Z
2535 State Road 16, Saint Augustine, FL;;;;;Saint Augustine;2023-10-31T11:31:50.494Z
9005 Solar Rd, Winter Garden, FL;;;;;Winter Garden;2024-03-04T09:14:41.154Z
5900 Wilkinson Rd, Sarasota, FL;;;;;Sarasota;2023-12-23T09:06:30.568Z
3515 Delaney Dr, Melbourne, FL;;;;;Melbourne;2023-10-12T18:11:21.010Z
15100 Free Range Run, Winter Garden, FL;;;;;Winter Garden;2023-11-10T03:24:19.575Z
16325 Franklin Ave, Pt Charlotte, FL;;;;;Pt Charlotte;2024-02-10T17:57:25.451Z
The Irlo Extended Stay Apartments, 5565 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746;1589;ForRent;0;1;Kissimmee;2023-10-22T04:33:43.019Z
Tivoli Terrace, 920 Rich Dr #3-107, Deerfield Beach, FL 33441;1800;ForRent;1;1;Deerfield Beach;2024-01-24T09:41:04.588Z
3460 Beach Blvd, Jacksonville, FL;;;;;Jacksonville;2024-01-01T03:48:18.261Z
6904 Manatee Ave W, Bradenton, FL;;;;;Bradenton;2023-11-22T08:17:01.259Z
7581 Yellowleaf Ave, Tampa, FL;;;;;Tampa;2023-11-22T15:59:59.337Z
4820 SW 48th Ave, Ocala, FL;;;;;Ocala;2023-10-29T13:24:38.575Z
4117 Kenvil Dr, North Pt, FL;;;;;North Pt;2023-11-29T18:24:03.198Z
1005 Keymar Dr, Davenport, FL;;;;;Davenport;2023-12-05T19:43:58.557Z
1861 Stella Ln, Fort Walton Beach, FL;;;;;Fort Walton Beach;2023-11-07T21:11:31.382Z
16909 Vintage Commerce Blvd, Fort Myers, FL;;;;;Fort Myers;2023-12-22T18:55:39.936Z
220 Champions Way, Davenport, FL;;;;;Davenport;2024-01-13T15:59:46.568Z
2114 Nebula Way, Melbourne, FL;;;;;Melbourne;2023-10-28T20:02:04.877Z
4581 S Kirkman Rd, Orlando, FL;;;;;Orlando;2024-01-27T02:12:41.299Z
4463 Greens Edge Blvd, Fort Myers, FL;;;;;Fort Myers;2023-11-22T14:36:16.042Z
2500 Conserve Cir, Apopka, FL;;;;;Apopka;2023-11-03T06:57:52.386Z
301 S Lake Ave, Lakeland, FL;;;;;Lakeland;2024-03-30T11:28:38.523Z
6950 SW 40th St, Miami, FL;;;;;Miami;2024-01-09T11:48:38.627Z
570 Christina Dr, Wellington, FL;;;;;Wellington;2023-11-25T21:31:02.901Z
527 Neptune Bay Cir, Saint Cloud, FL;;;;;Saint Cloud;2024-03-08T11:50:18.134Z
995 Denton Blvd NW, Fort Walton Beach, FL;;;;;Fort Walton Beach;2023-12-22T02:30:47.777Z
4301 Gopher Key Cir, Zephyrhills, FL;;;;;Zephyrhills;2023-10-19T00:17:24.774Z
10011 Balaye Run Dr, Tampa, FL;;;;;Tampa;2024-04-02T23:24:06.151Z
28882 Renda Ln, San Antonio, FL;;;;;San Antonio;2023-11-20T01:44:49.646Z
6112 N State Rd, Pompano Beach, FL;;;;;Pompano Beach;2024-01-30T14:19:49.162Z
1400 S Dixie Hwy, Lake Worth, FL;;;;;Lake Worth;2024-03-03T03:26:05.629Z
13418 Dottie Dr, Tampa, FL;;;;;Tampa;2023-12-21T22:54:41.493Z
3001 NW 130th Ter, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-23T02:14:13.887Z
24555 Highway 331, Santa Rosa Beach, FL;;;;;Santa Rosa Beach;2024-02-29T02:30:02.025Z
695 Short Hills Ln, Palm Bay, FL;;;;;Palm Bay;2023-10-16T11:08:11.794Z
14768 Enclave Lakes Dr, Delray Beach, FL;;;;;Delray Beach;2024-01-19T10:36:40.656Z
900 Water Tower Way, Lake Worth, FL;;;;;Lake Worth;2023-12-25T03:38:33.458Z
8895 Perimeter Park Blvd, Jacksonville, FL;;;;;Jacksonville;2023-10-30T13:38:13.914Z
2260 Ringling Blvd, Sarasota, FL;;;;;Sarasota;2023-12-30T22:41:20.206Z
2981 Gulf To Bay Blvd, Clearwater, FL;;;;;Clearwater;2023-10-25T02:02:14.254Z
14059 Riveredge Dr, Tampa, FL;;;;;Tampa;2023-12-30T18:34:23.030Z
15005 Michelangelo Blvd, Delray Beach, FL;;;;;Delray Beach;2024-01-20T20:49:46.976Z
2600 W Grand Reserve Cir, Clearwater, FL;;;;;Clearwater;2023-11-28T07:50:19.799Z
9303 Cobalt Dr, Riverview, FL;;;;;Riverview;2023-11-10T11:03:59.526Z
2085 S Congress Ave, West Palm Beach, FL;;;;;West Palm Beach;2024-02-22T16:42:14.557Z
12310 Seacrest Ln, Jacksonville, FL;;;;;Jacksonville;2024-01-01T05:57:24.399Z
6200 NW 173rd St, Hialeah, FL;;;;;Hialeah;2024-03-02T02:19:38.280Z
2943 Spring Park Rd, Jacksonville, FL;;;;;Jacksonville;2024-01-19T14:29:42.687Z
7730 Navarre Pkwy, Navarre, FL;;;;;Navarre;2023-11-02T17:10:49.443Z
4501 71st St W, Bradenton, FL;;;;;Bradenton;2024-02-18T17:16:10.904Z
3650 Enso Way, Jacksonville, FL;;;;;Jacksonville;2024-03-17T14:51:13.482Z
Villas of Juno, 12801 Us Highway 1 #1445, North Palm Beach, FL 33408;2930;ForRent;2;2;North Palm Beach;2024-03-05T08:58:35.923Z
13765 NE 136th Loop, Lady Lake, FL;;;;;Lady Lake;2023-10-13T04:07:17.358Z
5399 W Irlo Bronson Memorial Hwy, Kissimmee, FL;;;;;Kissimmee;2023-10-23T03:35:55.834Z
300 W Tyler St, Tampa, FL;;;;;Tampa;2024-03-24T12:30:54.407Z
3800 S Kanner Hwy, Stuart, FL;;;;;Stuart;2023-11-28T08:54:31.922Z
1030 Clearwater Largo Rd N, Largo, FL;;;;;Largo;2024-01-26T10:34:46.539Z
3843 Dequattro Dr, Rockledge, FL;;;;;Rockledge;2024-02-29T15:18:50.409Z
13706 NW 9th Ln, Newberry, FL;;;;;Newberry;2024-01-11T07:28:35.036Z
12035 Pioneers Way, Orlando, FL;;;;;Orlando;2024-02-28T16:54:24.058Z
3380 Fred George Rd, Tallahassee, FL;;;;;Tallahassee;2023-10-18T07:17:40.759Z
300 Tuscany Way, Melbourne, FL;;;;;Melbourne;2023-11-16T09:14:24.731Z
100 Hamilton Cir, Ormond Beach, FL;;;;;Ormond Beach;2023-10-29T05:09:01.509Z
11500 NW 56th Dr, Pompano Beach, FL;;;;;Pompano Beach;2023-10-12T13:36:39.685Z
1015 Mahaffey Rd, Winter Haven, FL;;;;;Winter Haven;2024-02-06T08:50:26.990Z
1130 Upper Manatee River Rd NE, Bradenton, FL;;;;;Bradenton;2023-11-13T17:11:55.810Z
4910 Samaritan Way, Jacksonville, FL;;;;;Jacksonville;2023-10-15T09:47:21.721Z
12813 Ware Ln, Dade City, FL;;;;;Dade City;2023-10-14T11:34:24.259Z
3603 Pavilion Palms Cir, Riverview, FL;;;;;Riverview;2023-10-16T05:27:11.520Z
700 Cocoanut Ave, Sarasota, FL;;;;;Sarasota;2024-01-23T01:40:47.704Z
2500 SW 22nd Ter, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-04-02T11:31:29.898Z
4370 Boatman St, Lake Worth, FL;;;;;Lake Worth;2024-03-17T03:09:39.833Z
8683 Holly Grove Ct, Riverview, FL;;;;;Riverview;2023-11-16T20:34:17.446Z
3115 Grand Ave, Pinellas Park, FL;;;;;Pinellas Park;2024-01-19T14:46:33.988Z
8021 Peters Rd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-10-24T05:08:37.371Z
1001 NE 58th St, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-01-22T10:48:56.046Z
285 Uptown Blvd, Altamonte Springs, FL;;;;;Altamonte Springs;2023-12-21T23:59:12.463Z
520 NE 20th St, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-11-11T05:34:08.197Z
Stayable Lakeland, 4645 N Socrum Loop Rd, Lakeland, FL 33809;1000;ForRent;0;1;Lakeland;2024-03-14T05:41:10.665Z
1173 Pecan Park Rd, Jacksonville, FL;;;;;Jacksonville;2024-01-05T16:36:50.556Z
11800 Bahia Honda Ln, Fort Myers, FL;;;;;Fort Myers;2024-01-22T15:38:03.321Z
3250 Magnolia Pond Cir, Naples, FL;;;;;Naples;2024-03-24T15:33:03.671Z
Hideaway Gainesville, 2800 SW Williston Rd, Gainesville, FL 32608;1560;ForRent;2;2;Gainesville;2024-01-06T05:52:00.394Z
900 SE 3rd Ave, Ocala, FL;;;;;Ocala;2024-04-01T19:26:59.035Z
780 Island Point Dr, Jacksonville, FL;;;;;Jacksonville;2024-01-09T18:13:19.894Z
3110 Gowan Dr, Winter Haven, FL;;;;;Winter Haven;2024-02-21T19:47:45.489Z
11833 N Main St, Jacksonville, FL;;;;;Jacksonville;2023-10-17T02:40:54.245Z
3491 SW 42nd St, Ocala, FL;;;;;Ocala;2023-12-08T20:05:08.993Z
111 Vintage Way, Fernandina Beach, FL;;;;;Fernandina Beach;2023-12-24T16:10:18.573Z
12155 Us Highway 1, North Palm Beach, FL;;;;;North Palm Beach;2023-11-10T02:07:38.311Z
501 NE 5th Ter, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-16T20:16:11.951Z
1900 Olevia St, Jacksonville, FL;;;;;Jacksonville;2024-02-23T01:07:25.474Z
3640 SW 38th Ter, Ocala, FL;;;;;Ocala;2024-04-02T10:31:03.037Z
Windsor Lake Senior, 241 Cove Landing Dr #0, Thomasville, GA 31792;950;ForRent;1;1;Thomasville;2024-03-13T05:47:39.144Z
14701 Bartram Park Blvd, Jacksonville, FL;;;;;Jacksonville;2024-01-21T23:22:01.594Z
342 Riverwood Dr, Crestview, FL;;;;;Crestview;2023-11-26T22:53:33.146Z
100 Bel Aire Dr, Crestview, FL;;;;;Crestview;2024-01-26T00:01:34.218Z
15592 Enclave Way, Brooksville, FL;;;;;Brooksville;2024-04-10T12:14:17.588Z
7385 Park Village Dr, Jacksonville, FL;;;;;Jacksonville;2023-10-19T06:30:22.977Z
1505 Lankford Dr, Valdosta, GA;;;;;Valdosta;2023-11-18T03:49:08.085Z
505 Chatham Ave, Orlando, FL;;;;;Orlando;2024-02-24T22:20:34.888Z
6629 Dan Diciolla Dr, Wildwood, FL;;;;;Wildwood;2024-04-04T13:56:28.908Z
8067 Dream Catcher Cir, Naples, FL;;;;;Naples;2024-01-28T09:02:52.452Z
603 N Dort St, Plant City, FL;;;;;Plant City;2024-02-22T03:53:15.169Z
10550 SW Innovation Way, Pt Saint Lucie, FL;;;;;Pt Saint Lucie;2023-10-26T10:42:57.485Z
Lakes at Deerfield, 1100 S Military Trl #4-304, Deerfield Beach, FL 33442;2400;ForRent;2;2;Deerfield Beach;2024-04-03T10:24:17.335Z
1900 NW Federal Hwy, Stuart, FL;;;;;Stuart;2024-04-08T06:42:17.677Z
630 E Woolbright Rd, Boynton Beach, FL;;;;;Boynton Beach;2023-10-19T07:22:10.290Z
6620 SW 57th Ave, Miami, FL;;;;;Miami;2024-01-23T01:12:44.654Z
812 S Park Rd, Hollywood, FL;;;;;Hollywood;2024-01-24T11:22:08.311Z
655 W Marina Cove Dr, Saint Augustine, FL;;;;;Saint Augustine;2024-01-07T15:14:30.666Z
6220 Reese Rd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-10-20T10:12:54.557Z
100 Sands Parc Blvd, Daytona Beach, FL;;;;;Daytona Beach;2024-04-01T19:26:03.650Z
24001 Madaca Ln, Pt Charlotte, FL;;;;;Pt Charlotte;2024-04-02T12:25:00.961Z
601 Rosery Rd NE, Largo, FL;;;;;Largo;2024-01-18T12:05:15.236Z
17351 NW 94th Ct, Hialeah, FL;;;;;Hialeah;2023-10-13T07:42:10.580Z
50 Wexford Way, Saint Augustine, FL;;;;;Saint Augustine;2024-04-05T18:35:21.103Z
420 Sun Lake Cir, Lake Mary, FL;;;;;Lake Mary;2023-10-27T06:21:07.825Z
8171 N University Dr, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-18T22:10:31.395Z
1141 Kendall Town Blvd, Jacksonville, FL;;;;;Jacksonville;2023-11-04T16:44:13.499Z
307 N J St, Lake Worth, FL;;;;;Lake Worth;2023-11-24T17:51:38.951Z
4717 Everglades Cir, Kissimmee, FL;;;;;Kissimmee;2024-03-29T09:30:46.471Z
6201 Gunn Hwy, Tampa, FL;;;;;Tampa;2024-02-15T17:41:04.243Z
3232 On Fruitville, 3232 Fruitville Rd #240, Sarasota, FL 34237;1895;ForRent;2;1.5;Sarasota;2024-01-07T16:55:45.463Z
Stillwater Cove, 1400 5th Ave N, Naples, FL 34102;2000;ForRent;2;1;Naples;2024-02-20T20:11:52.273Z
3591 NW 88th Dr, Pompano Beach, FL;;;;;Pompano Beach;2024-01-18T22:02:50.999Z
7738 A C Skinner Pkwy, Jacksonville, FL;;;;;Jacksonville;2024-03-29T09:20:48.344Z
11571 Fountainhead Dr, Tampa, FL;;;;;Tampa;2024-02-27T11:23:27.089Z
3030 Ascend Oak St, Apopka, FL;;;;;Apopka;2024-03-16T19:05:38.582Z
2801 N Course Dr, Pompano Beach, FL;;;;;Pompano Beach;2023-12-06T19:22:55.027Z
14041 Hyatt Rd, Jacksonville, FL;;;;;Jacksonville;2024-03-26T01:52:46.222Z
1001 Caitlin Loop, Haines City, FL;;;;;Haines City;2024-02-17T04:33:23.628Z
1100 SW 4th Ave, Delray Beach, FL;;;;;Delray Beach;2024-01-11T10:18:28.239Z
9000 Colby Dr, Fort Myers, FL;;;;;Fort Myers;2023-10-20T08:10:04.487Z
700 Post Lake Pl, Apopka, FL;;;;;Apopka;2023-12-01T09:50:51.665Z
1800 Miccosukee Commons Dr, Tallahassee, FL;;;;;Tallahassee;2024-03-02T19:19:53.578Z
6367 NE 118th Ave, The Villages, FL;;;;;The Villages;2024-03-26T08:24:47.835Z
601 NW 82nd Ave, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-10-15T21:26:45.664Z
16297 Northdale Oaks Dr, Tampa, FL;;;;;Tampa;2023-11-07T18:19:48.087Z
